Allowance_Code,Award,Allowance_Name,Trigger_Condition,Amount,Unit,Amount_Type,Effective_Date,Expiry_Date,Source_Document,Validated_By,Validated_Date,Field_IDs_That_Trigger,Notes
MA2_MEAL,MA000002,Clerks Meal Allowance,"Employee required to work overtime for a specified period without prior notice; meal not provided by employer",,[INSERT FROM FWO],Per_Meal,01/07/2025,30/06/2026,FWO Pay Guide MA000002 / MA000002 allowances clause,,,"ALW001",PLACEHOLDER — verify trigger condition (hours of overtime before allowance applies) and current amount from award and FWO pay guide
MA2_FA,MA000002,Clerks First Aid Allowance,"Employee is a designated first aider in the workplace; holds current first aid certificate",,[INSERT FROM FWO],Per_Week or Per_Day (verify),01/07/2025,30/06/2026,MA000002 allowances clause,,,ALW004+CLA008,PLACEHOLDER — verify trigger and amount from award; confirm whether weekly or daily
MA2_LH,MA000002,Clerks Leading Hand Allowance,"Employee directly supervises other employees; number of employees may affect allowance amount",,[INSERT FROM FWO],Per_Week (likely),01/07/2025,30/06/2026,MA000002 allowances clause,,,ALW005+CLA009+CLA010,PLACEHOLDER — verify trigger (number of employees supervised) and amount from award
MA2_CLOTH,MA000002,Clerks Clothing/Laundry Allowance,"Employee required to wear special clothing or uniform by employer",,[INSERT FROM FWO],Per_Week (verify),01/07/2025,30/06/2026,MA000002 allowances clause,,,,"PLACEHOLDER — verify whether this allowance exists in current award; check Schedule B or equivalent"
RTD_VEH_4T5,MA000038,RTD Vehicle Allowance — Up to 4.5t,"Employee operates vehicle with GVM up to 4.5t as part of work duties",,[INSERT FROM FWO],Per_Day,01/07/2025,30/06/2026,FWO Pay Guide MA000038 / MA000038 allowances clause,,,ALW002+CLA006=Up to 4.5t,PLACEHOLDER — source current vehicle allowance amounts from FWO RTD pay guide; amounts vary by vehicle class
RTD_VEH_8T,MA000038,RTD Vehicle Allowance — 4.5t to 8t,"Employee operates vehicle with GVM 4.5t to 8t as part of work duties",,[INSERT FROM FWO],Per_Day,01/07/2025,30/06/2026,FWO Pay Guide MA000038 / MA000038 allowances clause,,,ALW002+CLA006=4.5t-8t,PLACEHOLDER — verify GVM range boundaries from Schedule A before populating
RTD_VEH_15T,MA000038,RTD Vehicle Allowance — 8t to 15t,"Employee operates vehicle with GVM 8t to 15t as part of work duties",,[INSERT FROM FWO],Per_Day,01/07/2025,30/06/2026,FWO Pay Guide MA000038 / MA000038 allowances clause,,,ALW002+CLA006=8t-15t,PLACEHOLDER — source from FWO pay guide; GVM thresholds must match Schedule A
RTD_VEH_25T,MA000038,RTD Vehicle Allowance — 15t to 25t,"Employee operates vehicle with GVM 15t to 25t as part of work duties",,[INSERT FROM FWO],Per_Day,01/07/2025,30/06/2026,FWO Pay Guide MA000038 / MA000038 allowances clause,,,ALW002+CLA006=15t-25t,PLACEHOLDER — heavy rigid vehicle class; source from FWO pay guide
RTD_VEH_25T_PLUS,MA000038,RTD Vehicle Allowance — Over 25t,"Employee operates vehicle with GVM over 25t (articulated/semi/B-double/road train)",,[INSERT FROM FWO],Per_Day,01/07/2025,30/06/2026,FWO Pay Guide MA000038 / MA000038 allowances clause,,,ALW002+CLA006=Over 25t,PLACEHOLDER — verify whether different amounts apply for different multi-combination types
RTD_DG,MA000038,RTD Dangerous Goods Allowance,"Employee holds dangerous goods licence and is regularly required to handle or transport dangerous goods",,[INSERT FROM FWO],Per_Day or Per_Shift (verify),01/07/2025,30/06/2026,MA000038 allowances clause,,,ALW003+CLA007,PLACEHOLDER — verify trigger conditions and amount from award; confirm whether per day or per shift
