Award_Code,Classification_ID,Classification_Name,Key_Criteria_1,Key_Criteria_2,Key_Criteria_3,GVM_Min_Tonnes,GVM_Max_Tonnes,Licence_Class,Rate_Code,Minimum_Weekly_Rate,Minimum_Hourly_Rate,Rate_Effective_Date,Source,Validated_Flag,Notes
MA000002,MA2-L1,Level 1 Clerical,Entry-level routine clerical tasks,Closely supervised,Limited autonomy,N/A,N/A,N/A,CL_L1_HOURLY,[SOURCE FROM FWO],[SOURCE FROM FWO],[UPDATE AFTER AWR],FWO Pay Guide MA000002,No — verify from award,All rates must be sourced from current FWO pay guide — placeholder only
MA000002,MA2-L2,Level 2 Clerical,Basic operational clerical skills,Some independent tasks,Direct communication with external parties,N/A,N/A,N/A,CL_L2_HOURLY,[SOURCE FROM FWO],[SOURCE FROM FWO],[UPDATE AFTER AWR],FWO Pay Guide MA000002,No — verify from award,All rates must be sourced from current FWO pay guide — placeholder only
MA000002,MA2-L3,Level 3 Clerical,Intermediate clerical skills,Works independently on routine tasks,May perform accounts or reporting functions,N/A,N/A,N/A,CL_L3_HOURLY,[SOURCE FROM FWO],[SOURCE FROM FWO],[UPDATE AFTER AWR],FWO Pay Guide MA000002,No — verify from award,All rates must be sourced from current FWO pay guide — placeholder only
MA000002,MA2-L4,Level 4 Clerical,Advanced clerical skills,May supervise small clerical team,Handles complex queries independently,N/A,N/A,N/A,CL_L4_HOURLY,[SOURCE FROM FWO],[SOURCE FROM FWO],[UPDATE AFTER AWR],FWO Pay Guide MA000002,No — verify from award,All rates must be sourced from current FWO pay guide — placeholder only
MA000002,MA2-L5,Level 5 Clerical,Specialist or senior supervisor,Manages team of clerical employees,Significant independence and responsibility,N/A,N/A,N/A,CL_L5_HOURLY,[SOURCE FROM FWO],[SOURCE FROM FWO],[UPDATE AFTER AWR],FWO Pay Guide MA000002,No — verify from award,All rates must be sourced from current FWO pay guide — placeholder only
MA000002,MA2-L6,Level 6 Clerical,Senior clerical management,Manages multiple teams or large clerical operation,High-level responsibility and accountability,N/A,N/A,N/A,CL_L6_HOURLY,[SOURCE FROM FWO],[SOURCE FROM FWO],[UPDATE AFTER AWR],FWO Pay Guide MA000002,No — verify from award,Verify whether Level 6 exists in current award — confirm count from Schedule A
MA000038,RTD-G1,RTD Grade 1,Small vehicle driver or general hand,Up to 4.5t GVM,LR or car licence,0,4.5,LR,RTD_G1_HOURLY,[SOURCE FROM FWO],[SOURCE FROM FWO],[UPDATE AFTER AWR],FWO Pay Guide MA000038,No — verify from award,GVM thresholds must be verified from Schedule A — placeholder values shown
MA000038,RTD-G2,RTD Grade 2,Light rigid driver or storeperson,4.5t to 8t GVM,LR or MR licence,4.5,8,MR,RTD_G2_HOURLY,[SOURCE FROM FWO],[SOURCE FROM FWO],[UPDATE AFTER AWR],FWO Pay Guide MA000038,No — verify from award,GVM thresholds must be verified from Schedule A — placeholder values shown
MA000038,RTD-G3,RTD Grade 3,Medium rigid driver,8t to 15t GVM,MR or HR licence,8,15,HR,RTD_G3_HOURLY,[SOURCE FROM FWO],[SOURCE FROM FWO],[UPDATE AFTER AWR],FWO Pay Guide MA000038,No — verify from award,GVM thresholds must be verified from Schedule A — placeholder values shown
MA000038,RTD-G4,RTD Grade 4,Heavy rigid driver,15t to 25t GVM,HR licence,15,25,HR,RTD_G4_HOURLY,[SOURCE FROM FWO],[SOURCE FROM FWO],[UPDATE AFTER AWR],FWO Pay Guide MA000038,No — verify from award,GVM thresholds must be verified from Schedule A — placeholder values shown
MA000038,RTD-G5,RTD Grade 5,Articulated or multi-combination driver,Over 25t GVM,HC or MC licence,25,9999,MC,RTD_G5_HOURLY,[SOURCE FROM FWO],[SOURCE FROM FWO],[UPDATE AFTER AWR],FWO Pay Guide MA000038,No — verify from award,GVM thresholds and whether B-double is separate grade must be verified from Schedule A
MA000038,RTD-FO,RTD Forklift Operator,Forklift operations as primary function,Forklift licence required,Warehouse or depot based,N/A,N/A,Forklift Ticket,RTD_FO_HOURLY,[SOURCE FROM FWO],[SOURCE FROM FWO],[UPDATE AFTER AWR],FWO Pay Guide MA000038,No — verify from award,Verify forklift operator classification structure from Schedule A
MA000038,RTD-LH,RTD Leading Hand,Direct supervision of other RTD employees,Responsible for directing work,Must have at least one employee supervised,N/A,N/A,As relevant to role,RTD_LH_HOURLY,[SOURCE FROM FWO],[SOURCE FROM FWO],[UPDATE AFTER AWR],FWO Pay Guide MA000038,No — verify from award,Leading hand classification — verify whether separate classification or allowance in award
MA000038,RTD-WH,RTD Warehouse/Storeperson,Warehouse operations without driving as primary function,No vehicle licence required as primary,Receiving dispatch picking packing,N/A,N/A,N/A,RTD_WH_HOURLY,[SOURCE FROM FWO],[SOURCE FROM FWO],[UPDATE AFTER AWR],FWO Pay Guide MA000038,No — verify from award,Storeperson classification — verify from Schedule A; there may be multiple levels
MA000039,LD-C1,RTLDO Class 1 — Long Distance Rigid,Long distance operations in rigid vehicle,Requires overnight or qualifying long distance trip,N/A — based on trip pattern not just vehicle,N/A,N/A,Verify,RTLDO_C1_PKM,[SOURCE FROM FWO],[SOURCE FROM FWO],[UPDATE AFTER AWR],FWO Pay Guide MA000039,No — verify from award,Per-km rate applies — verify class definition and rate from current award and FWO guide
MA000039,LD-C2,RTLDO Class 2 — Long Distance Semi,Long distance operations in semi-trailer or articulated vehicle,Requires overnight or qualifying long distance trip,HC or MC licence,N/A,N/A,HC/MC,RTLDO_C2_PKM,[SOURCE FROM FWO],[SOURCE FROM FWO],[UPDATE AFTER AWR],FWO Pay Guide MA000039,No — verify from award,Per-km rate applies — verify class definition and rate from current award and FWO guide
