RuleID,RuleName,Award,Category,ClauseReference,PlainEnglishBasis,TriggerCondition,RequiredInputs,LogicSummary,Output,ExceptionHandling,AuditNoteGuidance,CommonMistakes,ManualReviewTrigger,ConfidenceStatus,ValidationRequired
ACE-01,RTD Industry Coverage Test,MA000038/MA000039,Coverage,MA000038 cl.4 — verify,The award covers employers in road transport and distribution industry,ORG003=Transport-Logistics OR ORG004 contains transport keywords,ORG003+ORG004,If industry confirmed as transport then RTD/RTLDO branch applies,Proceed to ACE-02 or ACE-05,If industry is ambiguous flag for manual review,Record basis of industry determination,Assuming transport coverage for incidental delivery operations by non-transport employers,Employer in logistics/warehousing only without vehicle operations,Moderate,Yes — verify coverage clause in MA000038
ACE-02,Long Distance Operations Test,MA000039,Coverage,MA000039 cl.4 — verify,RTLDO covers employees engaged in long distance operations involving overnight stays,TRP005=Interstate or Long-Haul AND TRP006=Yes,TRP005+TRP006+EMP_DUTIES,If long distance confirmed then RTLDO award applies,AWARD=MA000039,If boundary unclear flag for manual review,Record trip pattern evidence used for determination,Assuming any interstate trip qualifies without checking overnight requirement,Employee performs both local and long-distance runs,Moderate,Yes — verify RTLDO definition in MA000039
ACE-03,RTD Occupational Coverage,MA000038,Coverage,MA000038 cl.4 — verify,RTD covers drivers warehouse dispatch and related employees in transport industry,ORG003=Transport AND EMP_DUTIES in driver/warehouse/dispatch,ORG003+EMP_DUTIES_PRIMARY,If RTD industry and transport duties confirmed then MA000038 applies,AWARD=MA000038,If duties are primarily clerical proceed to ACE-04,Record duty description used for determination,Applying RTD to clerical employees in transport companies,Duty split between transport and clerical,High for primary transport duties — lower for mixed,Yes — verify coverage clause
ACE-04,Mixed Duties Analysis,Multiple,Coverage,General award coverage law — principal purpose test,Where employee has mixed duties the principal purpose of engagement determines which award applies,DUTIES_TRANSPORT_PCT>=30 AND DUTIES_CLERICAL_PCT>=30,DUTIES_TRANSPORT_PCT+DUTIES_CLERICAL_PCT,If transport primary apply MA000038; if clerical primary apply MA000002; if equal flag for review,Award determination or REVIEW flag,Mixed duties cannot be automated — always flag when close to 50/50,Record time allocation evidence; document basis for principal purpose determination,Relying solely on job title to resolve mixed duties,Always trigger manual review when duties are 40-60 each category,Low — requires legal judgment,Yes — verify principal purpose test application
ACE-05,Clerks Award Coverage,MA000002,Coverage,MA000002 cl.4 — verify,Clerks Award covers private sector clerical and administrative employees,EMP_DUTIES in clerical/admin AND ORG005=Private,ORG005+EMP_DUTIES,If clerical duties and private sector confirmed then MA000002 applies,AWARD=MA000002,If public sector or more specific industry award applies then stop,Record basis of coverage determination,Applying Clerks Award to government or not-for-profit employees,Employer in specific industry with its own award,High for clearly clerical private sector — lower for industry-specific employers,Yes — verify Clerks Award coverage clause
CL-COV-01,Clerks Award General Coverage,MA000002,Coverage,MA000002 cl.4 — verify,Award covers private sector employees in classifications in Schedule A,ETP001 confirmed + ORG005=Private + duties in Schedule A classifications,ORG005+CLA003+EMP_DUTIES,Apply if all conditions met,AWARD=MA000002 confirmed,Flag if sector is not private,Record that Schedule A coverage has been confirmed,Applying to not-for-profit community sector workers,Employer in industry with its own award covering clerical functions,High,Yes — verify coverage clause and Schedule A
CL-CLA-01,Clerks Classification Level Assessment,MA000002,Classification,MA000002 Schedule A — verify,Classification based on duties skills level of supervision and responsibility,CLA004=Yes + CLA003 populated,CLA001+CLA003+CLA004,Match role duties to award Schedule A level descriptors starting from Level 1 upward,Classification level confirmed,If role spans two levels apply higher level as risk mitigation,Record assessment questions answered and classification evidence reference,Using contract title or employer preference rather than actual duties,Role genuinely spans two classification levels,High if properly assessed — Low if based on title only,Yes — verify Schedule A level descriptors and indicators
CL-ETP-01,Full-Time Ordinary Hours,MA000002,Employment Type,MA000002 cl.10 — verify,Full-time employee works 38 ordinary hours per week,ETP001=Full-time,ETP001+ETP002,Ordinary hours = 38 per week; daily = 7.6 (5-day week); no casual loading,Base pay calculation confirmed,If contracted hours differ from 38 flag for review,Record employment type basis in audit output,Treating employees with 38+ hour contracts as exempt from overtime,Contracted hours significantly different from 38,High — well-established,No
CL-ETP-02,Part-Time Ordinary Hours,MA000002,Employment Type,MA000002 cl.11 — verify,Part-time employee has guaranteed hours set in writing; additional hours may be OT,ETP001=Part-time,ETP001+ETP004+ETP003,Ordinary hours = ETP004; hours above guarantee — verify whether OT or additional ordinary,Part-time pay calculation confirmed,If guaranteed hours not documented flag for review,Record guaranteed hours source document,Not documenting guaranteed hours in writing; not assessing whether additional hours are OT,Guaranteed hours not in writing; regular hours exceed agreement,High for ordinary hours — Medium for additional hours OT treatment,Yes — verify part-time provisions including additional hours treatment
CL-ETP-03,Casual Loading,MA000002,Employment Type,MA000002 cl.12 — verify,Casual employees receive loading on top of ordinary rate for each engagement,ETP001=Casual,ETP001+base_rate,Casual rate = base_rate × (1 + casual_loading_pct); validate 25% from award,Casual hourly rate confirmed,If minimum engagement not met apply minimum,Record casual engagement basis; note loading percentage used,Applying casual loading without verifying percentage from award; not applying minimum engagement,Casual engaged for period below minimum engagement,High — standard modern award structure,Yes — verify casual loading percentage and minimum engagement from MA000002
CL-ORD-01,Clerks Ordinary Hours Span,MA000002,Ordinary Hours,MA000002 hours clause — verify,Ordinary time applies within the award span of hours; hours outside span attract penalties,SHF003 or SHF004 outside span,SHF003+SHF004+span_start+span_end,Identify hours within span (ordinary rate) and outside span (penalty rate),Hours classified by type,If span times uncertain flag for review,Record span classification for each shift in audit output,Not splitting hours at span boundary; treating all weekday hours as ordinary,Shift substantially outside span of ordinary hours,High for concept — verify exact span times,Yes — verify exact span start and end times in MA000002
CL-OT-01,Clerks Daily Overtime,MA000002,Overtime,MA000002 overtime clause — verify,Hours worked beyond ordinary daily hours attract overtime rates,SHF008 > daily_ordinary_hours,SHF008+ETP001+ETP002,daily_OT = SHF008 minus daily_ordinary; Tier1 = MIN(OT 2hrs) × 1.5×; Tier2 = remainder × 2.0×,Daily overtime pay calculated,Ensure no double count with weekly OT,Record daily overtime hours and rate tiers applied,Not applying correct two-tier overtime structure; double-counting daily and weekly OT,Uncertain about OT trigger for part-time employees,High for full-time — verify trigger for PT,Yes — verify daily OT trigger and tier multipliers from MA000002
CL-OT-02,Clerks Weekly Overtime,MA000002,Overtime,MA000002 overtime clause — verify,Hours worked beyond 38 in a week attract overtime rates,weekly_hours > 38,Weekly SHF008 total,weekly_OT = total_hours minus 38; avoid double count with daily OT,Weekly overtime pay calculated,Confirm no double-counting,Record weekly hours total and OT identified,Paying daily OT then also paying the same hours as weekly OT,Regular weekly hours consistently exceed 38,High — well established,No — confirm multipliers from award
CL-PEN-01,Clerks Penalty Rate Matrix,MA000002,Penalty Rates,MA000002 penalty clauses — verify all rates,Penalty rates apply for work outside ordinary span and on weekends and public holidays,Day type and time of day,SHF001+SHF002+SHF003+SHF004+PH_Table,Apply correct multiplier from Rates_Table for each hour type,Penalty pay calculated,If penalty type unclear flag for review,Record which penalty codes were applied in audit output,Hard-coding penalty percentages; not updating multipliers after Annual Wage Review,Multiple penalties applying to same hours simultaneously,High for concept — verify all multipliers from award,Yes — verify every multiplier from MA000002 and FWO pay guide
