NodeID,NodeName,NodeType,Question,Input_Fields_Required,Condition,IfTrue_Next,IfFalse_Next,IfUnknown_Next,Output_If_Terminal,ConfidenceLevel,ManualReviewTrigger,EscalationFlag,Notes
START,Entry Point,Start,Begin award coverage determination,,Always,ACE-00,,,,"","Always start here","No","No","Entry point for coverage engine"
ACE-00,National System Employer Test,Decision,Is the employer a national system employer in the federal industrial relations system?,ORG008,"ORG008=No (state system)",STOP-STATE,ACE-01,ACE-01-FLAG,STOP: State system — this tool does not apply. Seek advice for WA state system employers.,Medium,Yes if ORG008=No,Yes if ORG008=No,Most private sector employers in all states except some WA employers are in federal system
ACE-01,Industry Identification,Decision,Is the employer primarily engaged in the road transport and distribution industry?,ORG003+ORG004,"ORG003=Transport-Logistics",ACE-02,ACE-05,ACE-01-MIXED,,"High for clear transport employers","No","No","Mixed or unclear industry flags ACE-01-MIXED for manual review"
ACE-01-MIXED,Mixed Industry Flag,,Industry is unclear or mixed,ORG003+ORG004+EMP duties,,ACE-04,,,"REVIEW: Industry of employer is unclear. Manual review required before proceeding.",Low,Yes,Yes,Flag for HR manager review
ACE-02,Long Distance Operations Test,Decision,"Do this employee's duties regularly involve long distance road transport operations requiring overnight stays away from home base?",TRP005+TRP006+LDT001,"TRP005=Interstate or Long-Haul AND TRP006=Yes AND EMP=Driver",RTLDO-COVERAGE,ACE-03,ACE-02-FLAG,,"Medium",Yes if boundary unclear,Yes if boundary unclear,"Boundary between RTD and RTLDO is a documented area of legal complexity"
ACE-02-FLAG,RTLDO/RTD Boundary Flag,,Long distance status is unclear — employee may perform both local and long distance operations,TRP005+TRP006+LDT001+trip_pattern,,,,,"REVIEW: This employee's trip pattern is near the RTD/RTLDO boundary. Manual review required before calculating pay.",Low,Yes,Yes,Refer to HR manager — legal advice may be needed
RTLDO-COVERAGE,RTLDO Award Confirmed,Terminal,MA000039 applies,COV001,,RTLDO-CLA,,,AWARD: MA000039 — Road Transport (Long Distance Operations) Award 2020,High,No,No,Proceed to RTLDO classification and rules engine
ACE-03,RTD Occupational Test,Decision,Is the employee employed in a driving warehouse dispatch or related operational transport role?,EMP_DUTIES_PRIMARY,"EMP_DUTIES_PRIMARY in [Driver,Warehouse,Dispatch,Storeperson,Courier]",RTD-COVERAGE,ACE-04,ACE-03-FLAG,,"High for clear operational roles","No","No","If duties include both operational and clerical proceed to ACE-04"
ACE-03-FLAG,Operational vs Clerical Flag,,Employee duties are not clearly operational transport,EMP_DUTIES_PRIMARY,,ACE-04,,,"Duties unclear — proceed to mixed duties analysis",Medium,Yes,Yes,Check actual duties performed not just job title
RTD-COVERAGE,RTD Award Confirmed,Terminal,MA000038 applies,COV001,,RTD-CLA,,,AWARD: MA000038 — Road Transport and Distribution Award 2020,High,No,No,Proceed to RTD classification and rules engine
ACE-04,Mixed Duties Analysis,Decision,Are the employee's duties split between clerical and transport functions?,DUTIES_TRANSPORT_PCT+DUTIES_CLERICAL_PCT,"DUTIES_CLERICAL_PCT >= 60%",ACE-05,"ACE-04-MIXED","ACE-04-FLAG",,"Low — requires legal judgment","Always if split 40-60","Yes if split close to 50-50","The principal purpose test requires legal judgment — do not automate for borderline cases"
ACE-04-MIXED,Mixed Duties — Transport Majority,,Transport duties are majority,DUTIES_TRANSPORT_PCT+DUTIES_CLERICAL_PCT,"DUTIES_TRANSPORT_PCT >= 60%",RTD-COVERAGE,ACE-04-FLAG,,AWARD: MA000038 (based on transport majority — verify),Medium,Yes,Yes,Document time allocation evidence; recommend legal review if parties dispute
ACE-04-FLAG,Mixed Duties — Cannot Determine,,Duties are genuinely mixed and cannot be automatically resolved,DUTIES_TRANSPORT_PCT+DUTIES_CLERICAL_PCT,,,,,"REVIEW: Employee has significant duties in both clerical and transport categories. Award coverage cannot be automatically determined. Refer to HR Manager for formal duties assessment and legal advice if required.",Low,Yes,Yes,This is an escalation endpoint — do not proceed to calculation
ACE-05,Clerks Award Sector Test,Decision,Is the employer in the private sector?,ORG005,"ORG005=Private",ACE-06,STOP-SECTOR,,,"High","No","Yes if not private","Government and not-for-profit community sector employers — different awards apply"
STOP-SECTOR,Non-Private Sector,Terminal,,ORG005,,,,,"STOP: Employer sector is not private. The Clerks Award applies to private sector only. Check applicable award for this sector.",High,Yes,Yes,Do not proceed — wrong tool for this sector
ACE-06,Clerks Occupational Test,Decision,"Are the employee's duties clerical, administrative, or related as described in Clerks Award Schedule A?",EMP_DUTIES_PRIMARY+CLA003,"EMP_DUTIES in [clerical,admin,reception,data entry,customer service,accounts,office admin]",CLERKS-COVERAGE,ACE-07,ACE-06-FLAG,,"High for clearly clerical roles","No","No","Check whether a more specific industry award covers clerical functions in this employer's industry"
