FieldID,FieldName,Category,Purpose,DataType,Mandatory,AllowedValues,ValidationRule,DependentFields,SampleEntry,UsedFor_Coverage,UsedFor_Classification,UsedFor_PayCalc,UsedFor_Audit,UsedFor_Escalation
EMP001,Employee ID,Employee Details,Unique identifier for the employee,Text,Mandatory,Free text,Must not be blank,,E00247,N,N,Y,Y,N
EMP002,Employee Full Name,Employee Details,Employee identification,Text,Mandatory,Free text,Must not be blank,,Jane Smith,N,N,Y,Y,N
EMP003,Employment Start Date,Employee Details,Tenure and entitlement calculations,Date,Mandatory,DD/MM/YYYY,Valid date not in future,,15/03/2022,N,N,Y,Y,N
EMP004,Date of Birth,Employee Details,Junior rates calculation,Date,Optional,DD/MM/YYYY,Valid date,,12/06/1998,N,N,Y,Y,N
EMP005,Age at Calculation Date,Employee Details,Junior rate trigger,Numeric integer,Calculated,15-70,Auto-calculated from EMP004,EMP004,26,N,N,Y,Y,N
EMP006,State/Territory of Employment,Employee Details,Public holiday lookup and geographic conditions,List,Mandatory,"NSW,VIC,QLD,SA,WA,TAS,NT,ACT",Select list only,,NSW,N,N,Y,Y,N
EMP007,Employment Location,Employee Details,Geographic allowances,Text,Optional,Free text,,,Parramatta 2150,N,N,N,Y,N
ORG001,Employer Name,Employer Profile,Employer identification,Text,Mandatory,Free text,Must not be blank,,ABC Transport Pty Ltd,N,N,N,Y,N
ORG002,ABN,Employer Profile,Employer identification,Numeric,Optional,11-digit ABN,Validate ABN format,,51123456789,N,N,N,Y,N
ORG003,Primary Industry,Employer Profile,Award coverage determination,List,Mandatory,"Transport-Logistics,Clerical-Other,Mixed,Other",Select list only,,Transport-Logistics,Y,N,N,Y,Y
ORG004,Industry Description,Employer Profile,Coverage detail for audit,Text,Optional,Free text,,,Road freight and distribution,Y,N,N,Y,N
ORG005,Sector,Employer Profile,Award coverage — private sector test,List,Mandatory,"Private,Government,Not-for-profit",Select list only,,Private,Y,N,N,Y,Y
ORG006,EA Applicable,Employer Profile,Enterprise agreement flag,List,Mandatory,"Yes,No,Unknown",Select list only,,No,Y,N,N,Y,Y
ORG007,EA Reference,Employer Profile,EA identification,Text,Optional,Free text,Required if ORG006=Yes,,, N,N,N,Y,N
ORG008,State Registered Employer,Employer Profile,Federal vs state system coverage,Boolean,Mandatory,"Yes,No",Select list only,,No,Y,N,N,Y,Y
COV001,Award Coverage Confirmed,Coverage Indicators,Award determination output,List,Mandatory,"Yes-MA000002,Yes-MA000038,Yes-MA000039,Unresolved",Set by coverage engine,ORG003+EMP duties,Yes-MA000038,Y,N,N,Y,Y
COV002,Coverage Basis,Coverage Indicators,Documentation of coverage decision,Text,Mandatory,Auto-populated,,COV001,RTD industry + driver duties,Y,N,N,Y,N
COV003,Manual Coverage Override,Coverage Indicators,Flag for manual override,Boolean,Mandatory,"Yes,No",If Yes require COV004,,No,Y,N,N,Y,Y
COV004,Manual Coverage Justification,Coverage Indicators,Override explanation,Text,Optional,Free text,Required if COV003=Yes,COV003,,,N,N,N,Y,Y
COV005,Coverage Reviewed By,Coverage Indicators,Reviewer identification,Text,Optional,Free text,,,HR Manager,Y,N,N,Y,N
COV006,Coverage Review Date,Coverage Indicators,Date of coverage assessment,Date,Optional,DD/MM/YYYY,Valid date,,01/02/2026,Y,N,N,Y,N
ETP001,Employment Type,Employment Type,Base entitlement determination,List,Mandatory,"Full-time,Part-time,Casual",Select list only,,Full-time,N,N,Y,Y,N
ETP002,Contracted Hours Per Week,Employment Type,Ordinary hours base,Numeric decimal,Mandatory for FT/PT,0-76,Must not exceed 76,,38,N,N,Y,Y,N
ETP003,Contracted Days Per Week,Employment Type,Daily ordinary hours calculation,Numeric integer,Optional,1-6,,,5,N,N,Y,Y,N
ETP004,Guaranteed Hours Per Week (PT),Employment Type,Part-time ordinary hours,Numeric decimal,Mandatory if PT,0-38,Must not exceed ETP002,ETP001,20,N,N,Y,Y,N
ETP005,Hours Variation Agreed (PT),Employment Type,Part-time flexibility,Boolean,Optional,"Yes,No",,ETP001,No,N,N,Y,Y,N
ETP006,Regular Roster Pattern,Employment Type,Roster consistency flag,Boolean,Mandatory,"Yes,No",,,,N,N,Y,Y,N
ETP007,Shift Worker,Employment Type,Shift loading trigger,Boolean,Mandatory,"Yes,No",,,,N,N,Y,Y,N
CLA001,Job Title,Classification,Role identification,Text,Mandatory,Free text,Must not be blank,,Delivery Driver,N,Y,N,Y,N
CLA002,Award,Classification,Award for classification lookup,List,Mandatory,"MA000002,MA000038,MA000039",Auto from COV001,COV001,MA000038,N,Y,N,Y,N
CLA003,Classification Level,Classification,Pay rate selection,List,Mandatory,Award-specific,Validated against CLA002,,RTD Grade 3,N,Y,Y,Y,Y
CLA004,Classification Assessment Completed,Classification,Assessment confirmation,Boolean,Mandatory,"Yes,No",,,,N,Y,N,Y,Y
CLA005,Classification Evidence Reference,Classification,Document reference,Text,Optional,Free text,,,PD-247-v2,N,Y,N,Y,N
CLA006,Vehicle GVM Class,Classification,Driver classification and vehicle allowance,List,Mandatory if driver,"Up to 4.5t,4.5t-8t,8t-15t,15t-25t,Over 25t,N/A",,CLA003,15t-25t,N,Y,Y,Y,N
CLA007,Dangerous Goods Licensed,Classification,DG allowance trigger,Boolean,Optional,"Yes,No",,,,N,Y,Y,Y,N
CLA008,First Aid Qualified,Classification,First aid allowance trigger,Boolean,Optional,"Yes,No",,,,N,Y,Y,Y,N
CLA009,Leading Hand or Supervisor,Classification,Leading hand classification,Boolean,Optional,"Yes,No",,,,N,Y,Y,Y,N
CLA010,Number of Employees Supervised,Classification,Leading hand level,Numeric integer,Optional,0-999,Required if CLA009=Yes,CLA009,0,N,Y,Y,Y,N
RST001,Roster Start Date,Roster Pattern,Period identification,Date,Mandatory,DD/MM/YYYY,Valid date,,17/03/2026,N,N,Y,Y,N
