Rate_Code,Award,Classification_ID,Classification_Name,Rate_Type,Value,Unit,Casual_Adjustment,Effective_Date,Expiry_Date,Source_Document,Source_Page_or_Table,Validated_By,Validated_Date,Notes
CL_L1_HOURLY,MA000002,MA2-L1,Level 1 Clerical,Base_Hourly,[INSERT FROM FWO],Per_Hour,Multiply by 1.25 for casual,01/07/2025,30/06/2026,FWO Pay Guide MA000002 July 2025,[Insert],,[INSERT DATE],PLACEHOLDER — source from current FWO pay guide before go-live
CL_L2_HOURLY,MA000002,MA2-L2,Level 2 Clerical,Base_Hourly,[INSERT FROM FWO],Per_Hour,Multiply by 1.25 for casual,01/07/2025,30/06/2026,FWO Pay Guide MA000002 July 2025,[Insert],,[INSERT DATE],PLACEHOLDER — source from current FWO pay guide before go-live
CL_L3_HOURLY,MA000002,MA2-L3,Level 3 Clerical,Base_Hourly,[INSERT FROM FWO],Per_Hour,Multiply by 1.25 for casual,01/07/2025,30/06/2026,FWO Pay Guide MA000002 July 2025,[Insert],,[INSERT DATE],PLACEHOLDER — source from current FWO pay guide before go-live
CL_L4_HOURLY,MA000002,MA2-L4,Level 4 Clerical,Base_Hourly,[INSERT FROM FWO],Per_Hour,Multiply by 1.25 for casual,01/07/2025,30/06/2026,FWO Pay Guide MA000002 July 2025,[Insert],,[INSERT DATE],PLACEHOLDER — source from current FWO pay guide before go-live
CL_L5_HOURLY,MA000002,MA2-L5,Level 5 Clerical,Base_Hourly,[INSERT FROM FWO],Per_Hour,Multiply by 1.25 for casual,01/07/2025,30/06/2026,FWO Pay Guide MA000002 July 2025,[Insert],,[INSERT DATE],PLACEHOLDER — source from current FWO pay guide before go-live
CL_L6_HOURLY,MA000002,MA2-L6,Level 6 Clerical,Base_Hourly,[INSERT FROM FWO],Per_Hour,Multiply by 1.25 for casual,01/07/2025,30/06/2026,FWO Pay Guide MA000002 July 2025,[Insert],,[INSERT DATE],PLACEHOLDER — verify Level 6 exists in current award
MA000002_OT1,MA000002,ALL,All Clerks Classifications,Penalty_Multiplier,[VALIDATE — typically 1.5],Multiplier,,01/07/2025,30/06/2026,MA000002 overtime clause,[Insert],,[INSERT DATE],Overtime first 2 hours — verify multiplier from award
MA000002_OT2,MA000002,ALL,All Clerks Classifications,Penalty_Multiplier,[VALIDATE — typically 2.0],Multiplier,,01/07/2025,30/06/2026,MA000002 overtime clause,[Insert],,[INSERT DATE],Overtime after 2 hours — verify multiplier from award
MA000002_SAT,MA000002,ALL,All Clerks Classifications,Penalty_Multiplier,[VALIDATE from award],Multiplier,,01/07/2025,30/06/2026,MA000002 Saturday clause,[Insert],,[INSERT DATE],Saturday penalty rate — verify from award and FWO pay guide
MA000002_SUN,MA000002,ALL,All Clerks Classifications,Penalty_Multiplier,[VALIDATE from award],Multiplier,,01/07/2025,30/06/2026,MA000002 Sunday clause,[Insert],,[INSERT DATE],Sunday penalty rate — verify from award and FWO pay guide
MA000002_PH,MA000002,ALL,All Clerks Classifications,Penalty_Multiplier,[VALIDATE from award],Multiplier,,01/07/2025,30/06/2026,MA000002 public holiday clause,[Insert],,[INSERT DATE],Public holiday worked rate — verify from award and FWO pay guide
MA000002_EM,MA000002,ALL,All Clerks Classifications,Penalty_Multiplier,[VALIDATE — early morning],Multiplier,,01/07/2025,30/06/2026,MA000002 span of hours clause,[Insert],,[INSERT DATE],Early morning penalty for work before span start — verify trigger time and rate
MA000002_LE,MA000002,ALL,All Clerks Classifications,Penalty_Multiplier,[VALIDATE — late evening],Multiplier,,01/07/2025,30/06/2026,MA000002 span of hours clause,[Insert],,[INSERT DATE],Late evening penalty for work after span end — verify trigger time and rate
MA000002_SHF_AFT,MA000002,ALL,Clerks Shiftworkers,Penalty_Multiplier,[VALIDATE — afternoon shift loading],Multiplier,,01/07/2025,30/06/2026,MA000002 shiftwork clause,[Insert],,[INSERT DATE],Afternoon shift loading — verify from award
MA000002_SHF_NGT,MA000002,ALL,Clerks Shiftworkers,Penalty_Multiplier,[VALIDATE — night shift loading],Multiplier,,01/07/2025,30/06/2026,MA000002 shiftwork clause,[Insert],,[INSERT DATE],Night shift loading — verify from award
MA000002_CAS,MA000002,ALL,Casual Clerks,Loading_Factor,[VALIDATE — typically 0.25],Loading,,01/07/2025,30/06/2026,MA000002 casual clause,[Insert],,[INSERT DATE],Casual loading factor — verify from award (25% = 0.25)
RTD_G1_HOURLY,MA000038,RTD-G1,RTD Grade 1,Base_Hourly,[INSERT FROM FWO],Per_Hour,Multiply by 1.25 for casual,01/07/2025,30/06/2026,FWO Pay Guide MA000038 July 2025,[Insert],,[INSERT DATE],PLACEHOLDER — source from current FWO pay guide before go-live; verify GVM threshold
RTD_G2_HOURLY,MA000038,RTD-G2,RTD Grade 2,Base_Hourly,[INSERT FROM FWO],Per_Hour,Multiply by 1.25 for casual,01/07/2025,30/06/2026,FWO Pay Guide MA000038 July 2025,[Insert],,[INSERT DATE],PLACEHOLDER — source from current FWO pay guide before go-live
RTD_G3_HOURLY,MA000038,RTD-G3,RTD Grade 3,Base_Hourly,[INSERT FROM FWO],Per_Hour,Multiply by 1.25 for casual,01/07/2025,30/06/2026,FWO Pay Guide MA000038 July 2025,[Insert],,[INSERT DATE],PLACEHOLDER — source from current FWO pay guide before go-live
RTD_G4_HOURLY,MA000038,RTD-G4,RTD Grade 4,Base_Hourly,[INSERT FROM FWO],Per_Hour,Multiply by 1.25 for casual,01/07/2025,30/06/2026,FWO Pay Guide MA000038 July 2025,[Insert],,[INSERT DATE],PLACEHOLDER — source from current FWO pay guide before go-live
RTD_G5_HOURLY,MA000038,RTD-G5,RTD Grade 5,Base_Hourly,[INSERT FROM FWO],Per_Hour,Multiply by 1.25 for casual,01/07/2025,30/06/2026,FWO Pay Guide MA000038 July 2025,[Insert],,[INSERT DATE],PLACEHOLDER — source from current FWO pay guide before go-live
RTD_FO_HOURLY,MA000038,RTD-FO,RTD Forklift Operator,Base_Hourly,[INSERT FROM FWO],Per_Hour,Multiply by 1.25 for casual,01/07/2025,30/06/2026,FWO Pay Guide MA000038 July 2025,[Insert],,[INSERT DATE],PLACEHOLDER — verify forklift operator classification from Schedule A
RTD_WH_HOURLY,MA000038,RTD-WH,RTD Warehouse/Storeperson,Base_Hourly,[INSERT FROM FWO],Per_Hour,Multiply by 1.25 for casual,01/07/2025,30/06/2026,FWO Pay Guide MA000038 July 2025,[Insert],,[INSERT DATE],PLACEHOLDER — verify storeperson classification levels from Schedule A
MA000038_OT1,MA000038,ALL,All RTD Classifications,Penalty_Multiplier,[VALIDATE — typically 1.5],Multiplier,,01/07/2025,30/06/2026,MA000038 overtime clause,[Insert],,[INSERT DATE],RTD overtime first 2 hours — verify from award
MA000038_OT2,MA000038,ALL,All RTD Classifications,Penalty_Multiplier,[VALIDATE — typically 2.0],Multiplier,,01/07/2025,30/06/2026,MA000038 overtime clause,[Insert],,[INSERT DATE],RTD overtime after 2 hours — verify from award
MA000038_SAT,MA000038,ALL,All RTD Classifications,Penalty_Multiplier,[VALIDATE from award],Multiplier,,01/07/2025,30/06/2026,MA000038 Saturday clause,[Insert],,[INSERT DATE],RTD Saturday penalty rate — verify from award and FWO pay guide
MA000038_SUN,MA000038,ALL,All RTD Classifications,Penalty_Multiplier,[VALIDATE from award],Multiplier,,01/07/2025,30/06/2026,MA000038 Sunday clause,[Insert],,[INSERT DATE],RTD Sunday penalty rate — verify from award and FWO pay guide
MA000038_PH,MA000038,ALL,All RTD Classifications,Penalty_Multiplier,[VALIDATE from award],Multiplier,,01/07/2025,30/06/2026,MA000038 public holiday clause,[Insert],,[INSERT DATE],RTD public holiday worked rate — verify from award and FWO pay guide
MA000038_SHF_AFT,MA000038,ALL,RTD Shiftworkers,Penalty_Multiplier,[VALIDATE],Multiplier,,01/07/2025,30/06/2026,MA000038 shiftwork clause,[Insert],,[INSERT DATE],RTD afternoon shift loading — verify from award
MA000038_SHF_NGT,MA000038,ALL,RTD Shiftworkers,Penalty_Multiplier,[VALIDATE],Multiplier,,01/07/2025,30/06/2026,MA000038 shiftwork clause,[Insert],,[INSERT DATE],RTD night shift loading — verify from award
MA000038_CAS,MA000038,ALL,Casual RTD,Loading_Factor,[VALIDATE — typically 0.25],Loading,,01/07/2025,30/06/2026,MA000038 casual clause,[Insert],,[INSERT DATE],Casual loading factor for RTD — verify from award
